Sl,PID,FN,LN,Pos,Coun,DOB
443,480,Glyn,Hodges,M,Wales,30-Apr-63
444,481,John,Gannon,M,England,18-Dec-66
445,482,Mitch,Ward,M,England,19-Jun-71
446,483,John,Pemberton,M,Australia,18-Nov-64
447,484,Dane,Whitehouse,M,England,14-Oct-70
448,485,Charlie,Hartfield,M,England,14-Sep-71
449,487,Andrew,Scott,F,England,02-Aug-72
450,488,Brian,Deane,F,England,07-Feb-68
451,489,Alan,Cork,F,England,04-Mar-59
452,490,Adrian,Littlejohn,F,England,26-Sep-70
453,491,Franz,Carr,F,England,24-Sep-66
454,493,Chris,Woods,G,England,14-Nov-59
455,494,Lance,Key,G,England,17-May-68
456,495,Kevin,Pressman,G,England,06-Nov-67
457,496,Nigel,Worthington,D,Northern Ireland,04-Nov-61
458,497,Carlton,Palmer,D,England,05-Dec-65
459,498,Phil,King,D,England,28-Dec-67
460,499,Viv,Anderson,D,England,29-Jul-56
461,500,Simon,Stewart,D,England,01-Nov-73
462,501,Paul,Warhurst,D,England,26-Sep-69
463,502,Julian,Watts,D,England,17-Mar-71
464,503,Nigel,Pearson,D,England,21-Aug-63
465,504,Roland,Nilsson,D,Sweden,27-Nov-63
466,505,Graham,Hyde,M,England,10-Nov-70
467,506,Chris,Waddle,M,England,14-Dec-60
468,507,Ryan,Jones,M,England,23-Jul-73
469,508,John,Harkes,M,United States,08-Mar-67
470,509,Chris,Bart-Williams,M,England,16-Jun-74
471,510,John,Sheridan,M,Ireland,01-Oct-64
472,511,Michael,Williams,F,England,21-Nov-69
473,512,Nigel,Jemson,F,England,10-Aug-69
474,513,Mark,Bright,F,England,06-Jun-62
475,514,David,Hirst,F,England,07-Dec-67
476,515,Trevor,Francis,F,England,19-Apr-54
477,516,Gordon,Watson,F,England,20-Mar-71
478,518,Ian,Andrews,G,England,01-Dec-64
479,519,Tim,Flowers,G,England,03-Feb-67
480,520,Micky,Adams,D,England,08-Nov-61
481,521,Richard,Hall,D,England,14-Mar-72
482,522,Kenneth,Monkou,D,Netherlands,29-Nov-64
483,523,Francis,Benali,D,England,30-Dec-68
484,524,Jeff,Kenna,D,Ireland,27-Aug-70
485,525,Kevin,Moore,D,England,29-Apr-58
486,526,Derek,Allan,D,Scotland,24-Dec-74
487,527,Matt,Bound,D,England,09-Nov-72
488,528,Jason,Dodd,D,England,02-Nov-70
489,529,Perry,Groves,M,England,19-Apr-65
490,530,Neil,Maddison,M,England,02-Oct-69
491,531,Steve,Wood,M,England,23-Jun-63
492,532,Paul,Tisdale,M,England,14-Jan-73
493,533,Matthew,Le Tissier,M,England,14-Oct-68
494,534,Terry,Hurlock,M,England,22-Sep-58
495,535,Tommy,Widdrington,M,England,01-Oct-71
496,536,Neal,Bartlett,M,England,07-Apr-75
497,537,Glenn,Cockerill,M,England,25-Aug-59
498,538,Iain,Dowie,F,Northern Ireland,09-Jan-65
499,539,Nicky,Banger,F,England,25-Feb-71
500,540,Paul,Moody,F,England,13-Jun-67
501,541,David,Speedie,F,Scotland,20-Feb-60
502,542,Lee,Powell,F,Wales,02-Jun-73
503,544,Ian,Walker,G,England,31-Oct-71
504,545,Erik,Thorstvedt,G,Norway,28-Oct-62
505,546,Kevin,Dearden,G,England,08-Mar-70
506,547,Jason,Cundy,D,England,12-Nov-69
507,548,Gudni,Bergsson,D,Iceland,21-Jul-65
508,549,Gary,Mabbutt,D,England,23-Aug-61
509,550,Terry,Fenwick,D,England,17-Nov-59
510,551,Justin,Edinburgh,D,England,18-Dec-69
511,552,David,Tuttle,D,England,02-Jun-72
512,553,David,McDonald,D,England,02-Jan-71
513,554,Stuart,Nethercott,D,England,21-Mar-73
514,555,Dean,Austin,D,England,26-Apr-70
515,556,Steve,Sedgley,D,England,26-May-68
516,557,Sol,Campbell,D,England,18-Sep-74
517,558,Neil,Ruddock,D,England,09-May-68
518,560,David,Howells,M,England,15-Dec-67
519,561,Kevin,Watson,M,England,03-Jan-74
520,562,Andy,Turner,M,Northern Ireland,23-Mar-75
521,563,Danny,Hill,M,England,01-Oct-74
522,564,Lee,Hodges,M,England,09-Apr-73
523,565,Darren,Caskey,M,England,21-Aug-74
524,566,Darren,Anderton,M,England,03-Mar-72
525,567,Paul,Allen,M,England,28-Aug-62
526,568,Vinny,Samways,M,England,27-Oct-68
527,569,Nick,Barmby,M,England,11-Feb-74
528,571,Gerry,McMahon,M,Northern Ireland,29-Dec-73
529,572,Pat,van der Hauwe,M,Wales,16-Dec-60
530,573,Steve,Robinson,M,Northern Ireland,10-Dec-74
531,574,Mohamed,Nayim,M,Spain,05-Nov-66
532,575,Andrew,Gray,M,England,22-Feb-64
533,576,Teddy,Sheringham,F,England,02-Apr-66
534,577,Gordon,Durie,F,Scotland,06-Dec-65
535,578,Paul,Moran,F,England,22-May-68
536,579,John,Hendry,F,Scotland,06-Jan-70
